id,full_name,description,size,stargazers_count,language,has_projects,has_pages,has_discussions,archived,license,topics,forks,open_issues,watchers,vader_sentiment,sentiment_bin
45456804,jobbole awesome python cn,python web python,1584,29801,makefile,0,1,0,0,key other name other spdx id noassertion url none node id mdc tgljzw zzta,python,7977,23,29801,0.0,Neutral
171074362,nnja python,front end masters python course website at https learnpython dev,8500,471,css,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,226,7,471,0.0,Neutral
33428461,taizilongxu interview python,python,348,17031,shell,1,0,0,0,missing,,5560,31,17031,0.0,Neutral
266613704,dabeaz course practical python,practical python programming course by dabeaz,469,10363,python,1,1,1,0,key cc by sa name creative commons attribution share alike international spdx id cc by sa url https api github com licenses cc by sa node id mdc tgljzw zzti,python pythontutorial tutorial,6957,16,10363,0.0,Neutral
7589968,boostorg python,boost org python module,21021,506,c,1,1,0,0,key bsl name boost software license spdx id bsl url https api github com licenses bsl node id mdc tgljzw zzti,,218,210,506,0.4019,Positive
35976854,michaelliao awesome python webapp,python,369,2602,missing,1,0,0,0,key gpl name gnu general public license v spdx id gpl url https api github com licenses gpl node id mdc tgljzw zztk,,2803,36,2602,0.0,Neutral
307213173,openai openai python,the official python library for the openai api,6327,28634,python,0,0,1,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,openai python,4253,148,28634,0.0,Neutral
222751131,asabeneh days of python,days of python programming challenge is a step by step guide to learn the python programming language in days this challenge may take more than days follow your own pace these videos may help too https www youtube com channel uc pnruno rzypb xla yktw,8769,49220,python,1,0,0,0,missing,days of python flask github heroku matplotlib mongodb numpy pandas python python,9399,198,49220,0.5106,Positive
4660742,zhiwehu python programming exercises,python challenging programming exercises,779,28112,missing,1,0,0,0,missing,,6919,159,28112,0.1531,Positive
184015333,roytuts python,missing,173233,200,python,1,0,0,0,missing,,307,9,200,-0.296,Negative
81598961,python cpython,the python programming language,729953,68789,python,1,0,0,0,key other name other spdx id noassertion url none node id mdc tgljzw zzta,,32822,9341,68789,0.0,Neutral
49946255,donjayamanne pythonvscode,this extension is now maintained in the microsoft fork,162879,2103,typescript,0,1,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,autopep editor extract intellisense jupyter linter pydocstyle pylint python python python terminal refactorings rename refactorings scientific sort imports terminal testing typescript visual studio code,1574,92,2103,0.0,Neutral
38696925,python telegram bot python telegram bot,we have made you a wrapper you can t refuse,17484,28138,python,1,0,1,0,key gpl name gnu general public license v spdx id gpl url https api github com licenses gpl node id mdc tgljzw zztk,bot chatbot framework python telegram,5830,21,28138,-0.296,Negative
253601257,alievk avatarify python,avatars for zoom skype and other video conferencing apps,5823,16510,python,1,0,0,0,key other name other spdx id noassertion url none node id mdc tgljzw zzta,,4300,311,16510,0.0,Neutral
446929514,soyhenry python prep,missing,3983,846,jupyter notebook,1,0,0,0,missing,,14754,32,846,-0.296,Negative
380526791,zy l python,python,8239,392,missing,0,0,0,1,missing,,191,0,392,0.0,Neutral
134430817,edwinzhang python,source code about python development,51226,187,jupyter notebook,1,0,0,0,missing,,261,1,187,0.0,Neutral
95972609,yazbel python,yazbel python belgeleri en kapsaml ve ayr nt l t rk e python belgelendirmesi,60335,524,python,1,1,0,0,key other name other spdx id noassertion url none node id mdc tgljzw zzta,belgelendirme documentation egitim kilavuz python python turkce tutorial yazbel,163,10,524,0.0,Neutral
570114374,uoft dsi python,missing,36553,17,jupyter notebook,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,682,3,17,-0.296,Negative
273839530,python world python mini projects,a collection of simple python mini projects to enhance your python skills,138465,16606,python,1,1,0,1,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,automate learn to code miniprojects opensource projects python stuff tools,5530,74,16606,0.0,Neutral
149232836,allalgorithms python,implementation of all lgorithms in python programming language,196,372,python,0,0,0,1,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,algorithm algorithms allalgorithms cipher cryptography dynamic programming hacktoberfest math python searches searching sorting,173,20,372,0.0,Neutral
47042287,codebasics py,repository to store sample python programs for python learning,201380,7161,jupyter notebook,1,0,0,0,missing,jupyter jupyter notebook jupyter notebooks jupyter tutorial numpy numpy arrays numpy tutorial pandas pandas dataframe pandas tutorial python python pandas python tutorial python tutorials,16877,208,7161,0.0,Neutral
70761144,xianhu learnpython,python,23909,8153,jupyter notebook,1,0,0,0,missing,learning python python python flask python requests,4035,14,8153,0.0,Neutral
4196332,bigmlcom python,python bindings for bigml io,26333,288,python,0,0,0,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,api bigml machine learning ml python,181,2,288,0.0,Neutral
35065876,googlecloudplatform python docs samples,code samples used on cloud google com,292791,7813,jupyter notebook,0,0,0,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,python samples,6591,112,7813,0.0,Neutral
146619556,trekhleb learn python,playground and cheatsheet for learning python collection of python scripts that are split by topics and contain code examples with explanations,129,17290,python,0,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,learning learning by doing learning python programming language python python,2834,36,17290,0.0,Neutral
50881110,aimacode aima python,python implementation of algorithms from russell and norvig s artificial intelligence a modern approach,17911,8463,jupyter notebook,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,3937,222,8463,0.4767,Positive
704025289,iam veeramalla python for devops,learn python from devops engineer point of you,25,3871,python,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,8346,76,3871,0.0,Neutral
520969009,mouredev hello python,curso para aprender el lenguaje de programaci n python desde cero y para principiantes clases horas en v deo c digo proyectos y grupo de chat fundamentos frontend backend testing ia,5715,31955,python,1,0,0,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,backend chatgpt chatgpt api fastapi frontend gpt gpt mongodb openai openai api python python reflex tutorial,2043,25,31955,0.0,Neutral
622576337,hect x jmcomic crawler python,python api for jmcomic python api github actions,1568,3975,python,0,0,1,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,comic crawler downloader github actions jmcomic pypi python readthedocs,8227,3,3975,0.0,Neutral
177906941,wkunzhi python spider,python bilibili start,43632,3259,python,1,0,0,0,missing,crawl crawler dianping geek meituan pyppeteer python scrapy scrapy crawler selenium spider splash taobao,1032,9,3259,0.0,Neutral
862584018,modelcontextprotocol python sdk,the official python sdk for model context protocol servers and clients,3223,18333,python,1,1,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,2445,484,18333,0.0,Neutral
24370702,heyxiaohao python,python,58,285,python,1,0,0,0,missing,,159,0,285,0.0,Neutral
612857575,sksalahuddin python,python projects and applications with exercise,2437,293,python,1,0,0,0,missing,python app python lambda python library python script python,156,0,293,0.0,Neutral
102523304,fchollet deep learning with python notebooks,jupyter notebooks for the code samples of the book deep learning with python,7143,19473,jupyter notebook,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,8869,182,19473,0.0,Neutral
448583964,accumulatemore python,python,2812,543,jupyter notebook,1,0,0,0,missing,awesome collections python python framework python libary python libraries python resources python,114,0,543,0.0,Neutral
145909218,ipinfo python,official python library for ipinfo api ip geolocation and other types of ip data,250,527,python,1,0,0,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,ip address ip data ip geolocation ipinfo python,114,7,527,0.0,Neutral
177778981,shekhar rv python,ibm data science professional certificate on coursera,21435,129,jupyter notebook,1,0,0,0,missing,,207,6,129,0.0,Neutral
204939699,marblexu pythonplantsvszombies,a simple plantsvszombies game,10317,3640,python,1,0,0,0,missing,,994,48,3640,0.0,Neutral
43877558,lijin thu notes python,python,11695,7051,jupyter notebook,1,0,0,0,missing,anaconda matplotlib numpy python scipy theano,2891,11,7051,0.0,Neutral
524742958,digitalinnovationone trilha python dio,missing,150,4011,python,1,0,0,0,missing,,5840,332,4011,-0.296,Negative
250404001,calebcurry python,python tutorials,1037,270,python,1,0,0,0,missing,,146,13,270,0.0,Neutral
2921391,smilejay python,some of jay s shared python codes,112,161,python,1,0,0,0,missing,,174,2,161,0.34,Positive
107601840,albertlauncher python,official albert python plugins,1853,171,python,0,0,0,1,missing,albertlauncher plugins,172,0,171,0.0,Neutral
82729529,google python fire,python fire is a library for automatically generating command line interfaces clis from absolutely any python object,6314,27870,python,1,1,0,0,key other name other spdx id noassertion url none node id mdc tgljzw zzta,cli python,1452,152,27870,-0.34,Negative
5556156,revolunet pythonbooks,directory of free python ebooks,6917,1941,css,1,1,0,0,missing,,721,8,1941,0.5106,Positive
38197774,rainyear python in one pic,learn python in one picture,38342,4991,jupyter notebook,1,1,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,983,15,4991,0.0,Neutral
667202625,dabeaz course python mastery,advanced python mastery course by dabeaz,5327,12096,python,1,0,1,0,key cc by sa name creative commons attribution share alike international spdx id cc by sa url https api github com licenses cc by sa node id mdc tgljzw zzti,python python tutorial tutorial,2040,4,12096,0.25,Positive
157509583,mahmoud awesome python applications,free software that works great and also happens to be open source python,4161,17398,jupyter notebook,1,0,0,0,missing,application audio education game graphics gui productivity python science video,2721,41,17398,0.8126,Positive
541456,gregmalcolm python koans,python koans learn python through tdd,576,5016,python,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,koans python,2852,21,5016,0.0,Neutral
958830659,google adk python,an open source code first python toolkit for building evaluating and deploying sophisticated ai agents with flexibility and control,27061,12872,python,1,0,1,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,agent agentic agentic ai agents agents sdk ai ai agents aiagentframework genai genai chatbot llm llms multi agent multi agent systems multi agents multi agents collaboration,1852,696,12872,0.7184,Positive
100263581,sammchardy python binance,binance exchange api python implementation for automated trading,1931,6823,python,1,1,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,api binance cryptocurrency python python python websockets,2277,527,6823,0.0,Neutral
40380094,rasbt python machine learning book,the python machine learning st edition book code repository and info resource,159843,12496,jupyter notebook,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,data mining data science logistic regression machine learning machine learning algorithms neural network python scikit learn,4418,13,12496,0.0,Neutral
135201145,rustpython rustpython,a python interpreter written in rust,73852,20488,rust,1,0,1,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,compiler hacktoberfest interpreter jit language python language python rust wasm,1342,443,20488,0.0,Neutral
37417938,remitchell python scraping,code samples from the book web scraping with python http shop oreilly com product do,13325,4627,jupyter notebook,1,0,0,0,missing,,2536,88,4627,0.0,Neutral
946380199,openai openai agents python,a lightweight powerful framework for multi agent workflows,8765,14501,python,0,1,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,agents ai framework llm openai python,2378,173,14501,0.4215,Positive
198832400,jpmorganchase python training,python training for business analysts and traders,876,10551,jupyter notebook,0,0,0,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,banking binder binder ready cib data science finance jpmorgan jupyter jupyterlab python,1744,0,10551,0.0,Neutral
124848864,snailclimb python,python,8746,260,python,1,0,0,0,missing,itchat jieba wordcloud wxpy,114,1,260,0.0,Neutral
37419489,jwarmenhoven islr python,an introduction to statistical learning james witten hastie tibshirani python code,21875,4363,jupyter notebook,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,islr islr python machine learning predictive modeling statistical learning,2425,3,4363,0.0,Neutral
64647062,python webspider python webspider,source file of my book related to webspider,171517,2363,missing,1,0,0,0,missing,python webspider,848,4,2363,0.0,Neutral
172238351,keshavsingh python,this resporatory have ml ai nlp data science etc python language related material from many websites eg datacamp geeksforgeeks linkedin youtube udemy etc also it include programming challange competion solutions,47436,87,python,1,0,1,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,ai codechef solutions competitive programming data science database datastructure digital image processing geeksforgeeks interview prep hackerearth hackerearth python hackerearth solutions hackerrank python hackerrank solutions hacktoberfest leetcode days challenge ml nlp programming challenges python modules python,178,173,87,0.1779,Positive
317029148,lukasmasuch best of ml python,a ranked list of awesome machine learning python libraries updated weekly,21569,21867,missing,0,0,0,0,key cc by sa name creative commons attribution share alike international spdx id cc by sa url https api github com licenses cc by sa node id mdc tgljzw zzti,automl chatgpt data analysis data science data visualization data visualizations deep learning gpt gpt jax keras machine learning ml nlp python pytorch scikit learn tensorflow transformer,2931,29,21867,0.6249,Positive
166649934,kr s awesome python login model,python star,18655,16198,python,1,0,0,0,key other name other spdx id noassertion url none node id mdc tgljzw zzta,mail login bilibili login douban spider facebook login github login guoke spider jingdong lagou spider python selenium sina spider spiders taobao spider tuchong twitter bot weixinbot zhihu spider,3284,79,16198,0.0,Neutral
843222,scikit learn scikit learn,scikit learn machine learning in python,176813,63299,python,1,0,1,0,key bsd clause name bsd clause new or revised license spdx id bsd clause url https api github com licenses bsd clause node id mdc tgljzw zztu,data analysis data science machine learning python statistics,26216,2161,63299,0.0,Neutral
362706254,rekhugopal pythonhacks,this repo contains some solved python hacker codes,71466,477,python,1,0,0,0,missing,,909,9,477,0.2732,Positive
19845249,rocfy python,python,196,10,python,1,0,0,0,missing,,427,0,10,0.0,Neutral
28945905,mon python,ip python ipip net,149,232,python,1,0,0,0,missing,,110,2,232,0.0,Neutral
288724159,datasciencescoop python,python tutorials,798,185,jupyter notebook,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,116,1,185,0.0,Neutral
61966300,hussien aa pythontutorial,step by step to build apps with python code files for youtube tutorial,30,758,python,1,0,0,0,missing,python python,735,40,758,0.0,Neutral
71154529,lawlite machinelearning python,python,28264,8004,python,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,2483,10,8004,0.0,Neutral
160945215,softhints python,jupyter notebooks and datasets for the interesting pandas python data science video series,628,116,jupyter notebook,1,0,0,0,missing,pandas pandas cookbook pandas tricks for data manipulation pandas tutorial,142,2,116,0.4019,Positive
103277459,prateekkumarsingh python,day wise python learning resources from basic concepts to advanced python applications such as data science and machine learning it also includes cheat sheets references which are logged daily to accelerate your learning,12024,201,jupyter notebook,1,0,0,0,missing,python python python learning journey,111,0,201,0.2732,Positive
92491922,susanli machine learning with python,python code for common machine learning algorithms,60937,4487,jupyter notebook,1,0,0,0,missing,decision trees hierarchical clustering kmeans clustering knn classification lda linear regression logistic regression naive bayes classifier pca polynomial regression random forest svm svr xgboost algorithm,4813,50,4487,0.0,Neutral
63214339,yhangf pythoncrawler,heartpulse python,84,1691,python,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,python scripts spiders,497,0,1691,0.0,Neutral
252248456,jackfrued python core courses,python,28176,12328,missing,1,0,0,0,missing,,2979,53,12328,0.0,Neutral
446516537,manish droid python,stuffs from python,807,27,python,1,0,0,0,missing,contributions welcome hacktoberfest hacktoberfest accepted hacktoberfest python,254,102,27,0.0,Neutral
163437113,atilsamancioglu pythoncourse,missing,37,573,jupyter notebook,1,0,0,0,missing,,755,3,573,-0.296,Negative
3810626,ta lib ta lib python,python wrapper for ta lib http ta lib org,15185,11143,cython,0,1,0,0,key bsd clause name bsd clause simplified license spdx id bsd clause url https api github com licenses bsd clause node id mdc tgljzw zztq,finance pattern recognition python quantitative finance ta lib technical analysis,1907,135,11143,0.0,Neutral
8364147,pubnub python,pubnub python based sdk with asyncio support,3450,162,python,1,0,0,0,key other name other spdx id noassertion url none node id mdc tgljzw zzta,,114,12,162,0.4019,Positive
125455047,alfred interesting python,python python some interesting python crawlers and data analysis projects,50029,4905,jupyter notebook,1,0,0,0,missing,,1629,26,4905,0.4019,Positive
1385122,matplotlib matplotlib,matplotlib plotting with python,465194,21679,python,1,0,0,0,missing,data science data visualization gtk matplotlib plotting python qt tk wx,7992,1639,21679,0.0,Neutral
199449624,x nth pythoncode tutorials,the python code tutorials,336783,2901,jupyter notebook,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,computer vision ethical hacking face detection machine learning natural language processing network analysis network programming network security programming tutorial python python tutorials python scapy scapy tutorials socket programming text classification tutorials web scraping,1987,35,2901,0.0,Neutral
9294498,dabeaz python cookbook,code samples from the python cookbook rd edition published by o reilly associates may,2062,4006,python,1,0,0,0,missing,,1767,20,4006,0.0,Neutral
395484262,bellshade python,repositori untuk belajar pemrograman python dalam bahasa indonesia,7518,186,python,1,0,1,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,algorithms data structures hacktoberfest indonesia python,105,5,186,0.0,Neutral
276414382,microsoft playwright python,python version of the playwright testing and automation library,8753,13655,python,0,1,0,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,chromium firefox playwright webkit,1055,42,13655,0.0,Neutral
2866041,kivy python for android,turn your python application into an android apk,19379,8728,python,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,android apk kivy packaging python,1967,212,8728,0.0,Neutral
5934517,dpkp kafka python,python client for apache kafka,5934,5805,python,1,0,0,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,kafka python,1445,47,5805,0.0,Neutral
191218511,bnsreenu python for microscopists,https www youtube com channel uc rw htpjulxr wp xa w sub confirmation,171761,4272,jupyter notebook,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,2480,79,4272,0.25,Positive
222183074,jackzhenguo python small examples,python python https ai jupyter com,5834,8093,python,1,1,0,0,missing,data science machine learning python python gui python web pytorch tensorflow,1808,2,8093,0.0,Neutral
59957955,amueller introduction to ml with python,notebooks and code for the book introduction to machine learning with python,186383,7850,jupyter notebook,1,0,0,0,missing,,4658,27,7850,0.0,Neutral
244025,tweepy tweepy,twitter for python,14038,10991,python,0,0,1,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,python twitter twitter api,4604,97,10991,0.0,Neutral
259726383,eonraider blackhat python,source code for the book black hat python by justin seitz the code has been fully converted to python reformatted to comply with pep standards and refactored to eliminate dependency issues involving the implementation of deprecated libraries,51731,2224,python,1,0,0,0,missing,blackhat python blackhat python source code cybersecurity ethical hacking hacking tools network programming network security python hacking,439,2,2224,0.0,Neutral
162277119,xuanhun pythonhackingbook,python,41708,2593,python,1,0,0,0,missing,hacking python,523,18,2593,0.0,Neutral
42013588,jmportilla complete python bootcamp,lectures for udemy complete python bootcamp course,828,2305,jupyter notebook,1,0,0,0,missing,,2955,27,2305,0.0,Neutral
165551447,haozhang python,python python mp readme python python wsgi flask django vue django star,269225,1439,python,1,1,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,django flask itcast python python web,418,12,1439,0.0,Neutral
297232916,akshitagit python,repository for python codes and algos star the repo too,738,123,python,1,0,1,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,data structures dynamic programming hacktoberfest interview questions open source python sorting algorithms,111,27,123,0.0,Neutral
118820677,wilfredinni python cheatsheet,all inclusive python cheatsheet,45464,4760,vue,1,0,1,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,cheatsheet python python basics python beginners python cheatsheet quickbooks reference,1341,40,4760,0.0,Neutral
106843586,geostatsguy pythonnumericaldemos,well documented python demonstrations for spatial data analytics geostatistical and machine learning to support my courses,212931,1457,jupyter notebook,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,datanalytics geostatistics machine learning python,509,15,1457,0.5859,Positive
91222097,kkroening ffmpeg python,python bindings for ffmpeg with complex filtering support,4321,10731,python,1,1,0,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,,925,522,10731,0.4019,Positive
15749269,googleapis google api python client,the official python client library for google s discovery based apis,499554,8452,python,1,1,1,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,,2501,168,8452,0.0,Neutral
13592924,python openxml python docx,create and modify word documents with python,45041,5202,python,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,1235,697,5202,0.2732,Positive
19868085,rlabbe kalman and bayesian filters in python,kalman filter book using jupyter notebook focuses on building intuition and experience not formal proofs includes kalman filters extended kalman filters unscented kalman filters particle filters and more all exercises include solutions,590118,18205,jupyter notebook,1,1,0,0,key other name other spdx id noassertion url none node id mdc tgljzw zzta,,4393,138,18205,0.1779,Positive
4127088,azure azure sdk for python,this repository is for active development of the azure sdk for python for consumers of the sdk we recommend visiting our public developer docs at https learn microsoft com python azure or our versioned developer docs at https azure github io azure sdk for python,800177,5056,python,1,1,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,azure azure sdk hacktoberfest python,3103,977,5056,0.6369,Positive
128159263,vipstone python,python,56,213,python,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,84,1,213,0.0,Neutral
283867293,nickmccullum algorithmic trading python,the repository for freecodecamp s youtube course algorithmic trading in python,54614,2696,jupyter notebook,1,0,0,0,missing,,2553,50,2696,0.0,Neutral
16971145,jerrywu python,python,14645,95,jupyter notebook,1,0,0,0,missing,,84,10,95,0.0,Neutral
